Using cpu device
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | -0.00236     |
|    value_loss           | 0.0537       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 33.3         |
|    ep_rew_mean          | 0.49         |
| time/                   |              |
|    fps                  | 820          |
|    iterations           | 48           |
|    time_elapsed         | 119          |
|    total_timesteps      | 98304        |
| train/                  |              |
|    approx_kl            | 0.0008843469 |
|    clip_fraction        | 0.0129       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.123       |
|    explained_variance   | 0.0821       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0192       |
|    n_updates            | 470          |
|    policy_gradient_loss | -0.00182     |
|    value_loss           | 0.0507       |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 33.6          |
|    ep_rew_mean          | 0.54          |
| time/                   |               |
|    fps                  | 821           |
|    iterations           | 49            |
|    time_elapsed         | 122           |
|    total_timesteps      | 100352        |
| train/                  |               |
|    approx_kl            | 0.00068789604 |
|    clip_fraction        | 0.0101        |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.119        |
|    explained_variance   | 0.146         |
|    learning_rate        | 0.0003        |
|    loss                 | 0.0254        |
|    n_updates            | 480           |
|    policy_gradient_loss | -0.00187      |
|    value_loss           | 0.0574        |
-------------------------------------------

 RESULTADOS DE EVALUACIÓN ===
Tiempo total de entrenamiento: 123.35 segundos
