Using cpu device
---------------------------------
| rollout/           |          |
|    n_updates            | 460          |
|    policy_gradient_loss | -0.00196     |
|    value_loss           | 0.0692       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.5         |
|    ep_rew_mean          | 0.23         |
| time/                   |              |
|    fps                  | 824          |
|    iterations           | 48           |
|    time_elapsed         | 119          |
|    total_timesteps      | 98304        |
| train/                  |              |
|    approx_kl            | 0.0024036919 |
|    clip_fraction        | 0.025        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.348       |
|    explained_variance   | 0.211        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0288       |
|    n_updates            | 470          |
|    policy_gradient_loss | -0.00256     |
|    value_loss           | 0.0612       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.1         |
|    ep_rew_mean          | 0.15         |
| time/                   |              |
|    fps                  | 825          |
|    iterations           | 49           |
|    time_elapsed         | 121          |
|    total_timesteps      | 100352       |
| train/                  |              |
|    approx_kl            | 0.0021754727 |
|    clip_fraction        | 0.0136       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.362       |
|    explained_variance   | 0.241        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0373       |
|    n_updates            | 480          |
|    policy_gradient_loss | -0.000481    |
|    value_loss           | 0.0629       |
------------------------------------------

 RESULTADOS DE EVALUACIÓN ===
Tiempo total de entrenamiento: 122.77 segundos
